------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:95, Time:0ms, TrainError:0.06780545, TrainErrorChange:-2.2978336E-4, ValidationError:0.24323872, Accuracy: 0.9111111
Epoch:96, Time:0ms, TrainError:0.067580014, TrainErrorChange:-2.2543222E-4, ValidationError:0.24316652, Accuracy: 0.9111111
Epoch:97, Time:0ms, TrainError:0.06735876, TrainErrorChange:-2.2125244E-4, ValidationError:0.24308904, Accuracy: 0.9111111
Epoch:98, Time:1ms, TrainError:0.06714156, TrainErrorChange:-2.1719933E-4, ValidationError:0.24300727, Accuracy: 0.9111111
Epoch:99, Time:0ms, TrainError:0.06692827, TrainErrorChange:-2.1329522E-4, ValidationError:0.24292235, Accuracy: 0.9111111
Epoch:100, Time:0ms, TrainError:0.0667189, TrainErrorChange:-2.0936877E-4, ValidationError:0.2428345, Accuracy: 0.9111111
Epoch:101, Time:1ms, TrainError:0.066513166, TrainErrorChange:-2.0573288E-4, ValidationError:0.24274383, Accuracy: 0.9111111
Epoch:102, Time:0ms, TrainError:0.06631107, TrainErrorChange:-2.02097E-4, ValidationError:0.24265146, Accuracy: 0.9111111
Epoch:103, Time:0ms, TrainError:0.06611249, TrainErrorChange:-1.9858032E-4, ValidationError:0.24255773, Accuracy: 0.9111111
Epoch:104, Time:1ms, TrainError:0.06591731, TrainErrorChange:-1.9517541E-4, ValidationError:0.24246307, Accuracy: 0.9111111
Epoch:105, Time:0ms, TrainError:0.065725446, TrainErrorChange:-1.9186735E-4, ValidationError:0.2423679, Accuracy: 0.9111111
Epoch:106, Time:1ms, TrainError:0.06553689, TrainErrorChange:-1.885593E-4, ValidationError:0.24227284, Accuracy: 0.9111111
Epoch:107, Time:0ms, TrainError:0.065351404, TrainErrorChange:-1.854822E-4, ValidationError:0.24217863, Accuracy: 0.9111111
Epoch:108, Time:1ms, TrainError:0.06516907, TrainErrorChange:-1.8233061E-4, ValidationError:0.2420846, Accuracy: 0.9111111
Epoch:109, Time:0ms, TrainError:0.06498975, TrainErrorChange:-1.7932057E-4, ValidationError:0.24199167, Accuracy: 0.9111111
Epoch:110, Time:1ms, TrainError:0.064813256, TrainErrorChange:-1.764968E-4, ValidationError:0.2419011, Accuracy: 0.9111111
Epoch:111, Time:0ms, TrainError:0.06463982, TrainErrorChange:-1.7343462E-4, ValidationError:0.24181196, Accuracy: 0.9111111
Epoch:112, Time:1ms, TrainError:0.06446903, TrainErrorChange:-1.7078966E-4, ValidationError:0.24172506, Accuracy: 0.9111111
Epoch:113, Time:0ms, TrainError:0.06430101, TrainErrorChange:-1.680255E-4, ValidationError:0.24164051, Accuracy: 0.9111111
Epoch:114, Time:1ms, TrainError:0.06413562, TrainErrorChange:-1.6538799E-4, ValidationError:0.24155866, Accuracy: 0.9111111
