------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:103, Time:1ms, TrainError:0.16756892, TrainErrorChange:0.008124962, ValidationError:0.553162, Accuracy: 0.9111111
Epoch:104, Time:0ms, TrainError:0.2978258, TrainErrorChange:0.13025689, ValidationError:0.46349907, Accuracy: 0.9111111
Epoch:105, Time:1ms, TrainError:0.37211978, TrainErrorChange:0.07429397, ValidationError:0.28696898, Accuracy: 0.9111111
Epoch:106, Time:0ms, TrainError:0.16286482, TrainErrorChange:-0.20925497, ValidationError:0.47408718, Accuracy: 0.9111111
Epoch:107, Time:1ms, TrainError:0.23077585, TrainErrorChange:0.06791103, ValidationError:0.32520667, Accuracy: 0.9111111
Epoch:108, Time:1ms, TrainError:0.066275805, TrainErrorChange:-0.16450004, ValidationError:0.14082228, Accuracy: 0.9555556
Epoch:109, Time:0ms, TrainError:0.19389206, TrainErrorChange:0.12761626, ValidationError:0.2318326, Accuracy: 0.9111111
Epoch:110, Time:1ms, TrainError:0.09085568, TrainErrorChange:-0.10303638, ValidationError:0.58768004, Accuracy: 0.9111111
Epoch:111, Time:1ms, TrainError:0.07318653, TrainErrorChange:-0.017669149, ValidationError:0.38671577, Accuracy: 0.9111111
Epoch:112, Time:0ms, TrainError:0.0631748, TrainErrorChange:-0.010011733, ValidationError:0.4750339, Accuracy: 0.9111111
Epoch:113, Time:1ms, TrainError:0.3858474, TrainErrorChange:0.3226726, ValidationError:0.28552824, Accuracy: 0.9111111
Epoch:114, Time:1ms, TrainError:0.42295527, TrainErrorChange:0.037107885, ValidationError:0.27998555, Accuracy: 0.9111111
Epoch:115, Time:0ms, TrainError:0.3303911, TrainErrorChange:-0.092564166, ValidationError:0.28614622, Accuracy: 0.9111111
Epoch:116, Time:1ms, TrainError:0.3758237, TrainErrorChange:0.045432597, ValidationError:0.31347105, Accuracy: 0.9111111
Epoch:117, Time:0ms, TrainError:0.5097475, TrainErrorChange:0.1339238, ValidationError:0.31731686, Accuracy: 0.9111111
Epoch:118, Time:0ms, TrainError:0.49845046, TrainErrorChange:-0.011297047, ValidationError:0.31571022, Accuracy: 0.9111111
Epoch:119, Time:0ms, TrainError:0.46744716, TrainErrorChange:-0.031003296, ValidationError:0.29852337, Accuracy: 0.9111111
Epoch:120, Time:0ms, TrainError:0.19673863, TrainErrorChange:-0.27070853, ValidationError:0.4257992, Accuracy: 0.9111111
Epoch:121, Time:1ms, TrainError:0.59968275, TrainErrorChange:0.40294412, ValidationError:0.44564533, Accuracy: 0.9111111
Epoch:122, Time:0ms, TrainError:0.111062884, TrainErrorChange:-0.48861986, ValidationError:0.41569826, Accuracy: 0.9111111
Epoch:123, Time:1ms, TrainError:0.58361477, TrainErrorChange:0.47255188, ValidationError:0.3199856, Accuracy: 0.9111111
Epoch:124, Time:0ms, TrainError:0.48615393, TrainErrorChange:-0.097460836, ValidationError:0.32353735, Accuracy: 0.9111111
Epoch:125, Time:1ms, TrainError:0.48237196, TrainErrorChange:-0.0037819743, ValidationError:0.32163897, Accuracy: 0.9111111
Epoch:126, Time:1ms, TrainError:0.37949213, TrainErrorChange:-0.10287982, ValidationError:0.29970714, Accuracy: 0.8666666
Epoch:127, Time:0ms, TrainError:0.14158498, TrainErrorChange:-0.23790716, ValidationError:0.41882938, Accuracy: 0.9111111
Epoch:128, Time:1ms, TrainError:0.06571593, TrainErrorChange:-0.075869046, ValidationError:0.48682448, Accuracy: 0.9111111
Epoch:129, Time:0ms, TrainError:0.30903983, TrainErrorChange:0.24332389, ValidationError:0.20021452, Accuracy: 0.9111111
Epoch:130, Time:1ms, TrainError:0.096228145, TrainErrorChange:-0.21281168, ValidationError:0.22071096, Accuracy: 0.9111111
Epoch:131, Time:0ms, TrainError:0.06752298, TrainErrorChange:-0.028705165, ValidationError:0.1611559, Accuracy: 0.9111111
Epoch:132, Time:1ms, TrainError:0.13627052, TrainErrorChange:0.06874754, ValidationError:0.17261012, Accuracy: 0.9555556
Epoch:133, Time:0ms, TrainError:0.6183332, TrainErrorChange:0.4820627, ValidationError:0.36549017, Accuracy: 0.8666666
Epoch:134, Time:1ms, TrainError:0.45676363, TrainErrorChange:-0.1615696, ValidationError:0.19415922, Accuracy: 0.9555556
Epoch:135, Time:0ms, TrainError:0.12520982, TrainErrorChange:-0.33155382, ValidationError:0.21754448, Accuracy: 0.9111111
Epoch:136, Time:0ms, TrainError:0.054919653, TrainErrorChange:-0.07029017, ValidationError:0.16215281, Accuracy: 0.9111111
Epoch:137, Time:0ms, TrainError:0.14250398, TrainErrorChange:0.087584324, ValidationError:0.13807173, Accuracy: 0.9555556
Epoch:138, Time:0ms, TrainError:0.1361127, TrainErrorChange:-0.006391272, ValidationError:0.39418572, Accuracy: 0.9111111
Epoch:139, Time:0ms, TrainError:0.15267573, TrainErrorChange:0.016563028, ValidationError:0.122860774, Accuracy: 0.9555556
Epoch:140, Time:0ms, TrainError:0.06567628, TrainErrorChange:-0.08699945, ValidationError:0.45467532, Accuracy: 0.9111111
Epoch:141, Time:0ms, TrainError:0.13181968, TrainErrorChange:0.0661434, ValidationError:0.1465178, Accuracy: 0.9555556
Epoch:142, Time:0ms, TrainError:0.08184919, TrainErrorChange:-0.049970493, ValidationError:0.13370308, Accuracy: 0.9555556
Epoch:143, Time:0ms, TrainError:0.10565172, TrainErrorChange:0.023802534, ValidationError:0.15580001, Accuracy: 0.9555556
