------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:112, Time:0ms, TrainError:0.06800497, TestError:0.17133494, TrainErrorChange:0.06800497, Accuracy: 0.9111111
Epoch:113, Time:0ms, TrainError:0.067601085, TestError:0.1714497, TrainErrorChange:0.067601085, Accuracy: 0.9111111
Epoch:114, Time:1ms, TrainError:0.067203626, TestError:0.17158495, TrainErrorChange:0.067203626, Accuracy: 0.9111111
Epoch:115, Time:0ms, TrainError:0.06681217, TestError:0.1717435, TrainErrorChange:0.06681217, Accuracy: 0.9111111
Epoch:116, Time:1ms, TrainError:0.06642711, TestError:0.17192265, TrainErrorChange:0.06642711, Accuracy: 0.9111111
Epoch:117, Time:0ms, TrainError:0.0660478, TestError:0.17212124, TrainErrorChange:0.0660478, Accuracy: 0.9111111
Epoch:118, Time:1ms, TrainError:0.06567427, TestError:0.17233907, TrainErrorChange:0.06567427, Accuracy: 0.9111111
Epoch:119, Time:0ms, TrainError:0.065306224, TestError:0.17257603, TrainErrorChange:0.065306224, Accuracy: 0.9111111
Epoch:120, Time:1ms, TrainError:0.06494368, TestError:0.17283042, TrainErrorChange:0.06494368, Accuracy: 0.9111111
Epoch:121, Time:0ms, TrainError:0.06458654, TestError:0.17310253, TrainErrorChange:0.06458654, Accuracy: 0.9111111
Epoch:122, Time:0ms, TrainError:0.06423463, TestError:0.17339063, TrainErrorChange:0.06423463, Accuracy: 0.9111111
Epoch:123, Time:1ms, TrainError:0.06388768, TestError:0.1736953, TrainErrorChange:0.06388768, Accuracy: 0.9111111
Epoch:124, Time:0ms, TrainError:0.06354581, TestError:0.17401521, TrainErrorChange:0.06354581, Accuracy: 0.9111111
Epoch:125, Time:1ms, TrainError:0.06320886, TestError:0.17434928, TrainErrorChange:0.06320886, Accuracy: 0.9111111
Epoch:126, Time:0ms, TrainError:0.06287678, TestError:0.17469779, TrainErrorChange:0.06287678, Accuracy: 0.9111111
Epoch:127, Time:0ms, TrainError:0.0625492, TestError:0.1750599, TrainErrorChange:0.0625492, Accuracy: 0.9111111
Epoch:128, Time:0ms, TrainError:0.06222621, TestError:0.1754352, TrainErrorChange:0.06222621, Accuracy: 0.9111111
Epoch:129, Time:0ms, TrainError:0.0619078, TestError:0.17582153, TrainErrorChange:0.0619078, Accuracy: 0.9111111
Epoch:130, Time:1ms, TrainError:0.061593868, TestError:0.17622049, TrainErrorChange:0.061593868, Accuracy: 0.9111111
Epoch:131, Time:0ms, TrainError:0.06128408, TestError:0.17663017, TrainErrorChange:0.06128408, Accuracy: 0.9111111
Epoch:132, Time:0ms, TrainError:0.060978703, TestError:0.17705016, TrainErrorChange:0.060978703, Accuracy: 0.9111111
Epoch:133, Time:1ms, TrainError:0.060677554, TestError:0.17748035, TrainErrorChange:0.060677554, Accuracy: 0.9111111
Epoch:134, Time:0ms, TrainError:0.060380455, TestError:0.17791866, TrainErrorChange:0.060380455, Accuracy: 0.9111111
Epoch:135, Time:0ms, TrainError:0.06008728, TestError:0.17836608, TrainErrorChange:0.06008728, Accuracy: 0.9111111
Epoch:136, Time:0ms, TrainError:0.059798107, TestError:0.17882313, TrainErrorChange:0.059798107, Accuracy: 0.9111111
Epoch:137, Time:0ms, TrainError:0.059513014, TestError:0.17928748, TrainErrorChange:0.059513014, Accuracy: 0.9111111
Epoch:138, Time:0ms, TrainError:0.059231818, TestError:0.17975892, TrainErrorChange:0.059231818, Accuracy: 0.9111111
Epoch:139, Time:0ms, TrainError:0.058954254, TestError:0.18023778, TrainErrorChange:0.058954254, Accuracy: 0.9111111
Epoch:140, Time:1ms, TrainError:0.058680557, TestError:0.18072206, TrainErrorChange:0.058680557, Accuracy: 0.9111111
Epoch:141, Time:0ms, TrainError:0.05841042, TestError:0.18121251, TrainErrorChange:0.05841042, Accuracy: 0.9111111
Epoch:142, Time:1ms, TrainError:0.05814394, TestError:0.18170999, TrainErrorChange:0.05814394, Accuracy: 0.9111111
Epoch:143, Time:0ms, TrainError:0.057881054, TestError:0.18221083, TrainErrorChange:0.057881054, Accuracy: 0.9111111
Epoch:144, Time:0ms, TrainError:0.057621595, TestError:0.18271717, TrainErrorChange:0.057621595, Accuracy: 0.9111111
Epoch:145, Time:0ms, TrainError:0.05736558, TestError:0.18322869, TrainErrorChange:0.05736558, Accuracy: 0.9111111
Epoch:146, Time:0ms, TrainError:0.05711311, TestError:0.18374398, TrainErrorChange:0.05711311, Accuracy: 0.9111111
Epoch:147, Time:0ms, TrainError:0.056863897, TestError:0.1842636, TrainErrorChange:0.056863897, Accuracy: 0.9111111
Epoch:148, Time:1ms, TrainError:0.05661816, TestError:0.18478487, TrainErrorChange:0.05661816, Accuracy: 0.9111111
Epoch:149, Time:0ms, TrainError:0.056375455, TestError:0.1853113, TrainErrorChange:0.056375455, Accuracy: 0.9111111
Epoch:150, Time:0ms, TrainError:0.05613621, TestError:0.18583931, TrainErrorChange:0.05613621, Accuracy: 0.9111111
Epoch:151, Time:1ms, TrainError:0.055899944, TestError:0.18637054, TrainErrorChange:0.055899944, Accuracy: 0.9111111
Epoch:152, Time:0ms, TrainError:0.055666845, TestError:0.18690494, TrainErrorChange:0.055666845, Accuracy: 0.9111111
Epoch:153, Time:0ms, TrainError:0.055436965, TestError:0.18744032, TrainErrorChange:0.055436965, Accuracy: 0.9111111
Epoch:154, Time:0ms, TrainError:0.055209953, TestError:0.18797842, TrainErrorChange:0.055209953, Accuracy: 0.9111111
Epoch:155, Time:0ms, TrainError:0.054986015, TestError:0.18851787, TrainErrorChange:0.054986015, Accuracy: 0.9111111
Epoch:156, Time:1ms, TrainError:0.054765023, TestError:0.18905911, TrainErrorChange:0.054765023, Accuracy: 0.9111111
Epoch:157, Time:0ms, TrainError:0.05454687, TestError:0.18960236, TrainErrorChange:0.05454687, Accuracy: 0.9111111
